Quarter,42643,42735,42825,date,value
Japan,16552.227999999999,13825.879000000001,11397.135,43100,15148.460999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43190,15181.314
Japan,16552.227999999999,13825.879000000001,11397.135,43281,11667.456
Japan,16552.227999999999,13825.879000000001,11397.135,43373,12643.800999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43465,10319.573
Japan,16552.227999999999,13825.879000000001,11397.135,43555,9851.2430000000004
Japan,16552.227999999999,13825.879000000001,11397.135,43646,13864.905000000001
Japan,16552.227999999999,13825.879000000001,11397.135,43738,14502.347
Japan,16552.227999999999,13825.879000000001,11397.135,43830,10098.630999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43921,13806.144
Japan,16552.227999999999,13825.879000000001,11397.135,44012,16671.398000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44104,14660.531999999999
Japan,16552.227999999999,13825.879000000001,11397.135,44196,19949.918000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44286,29391.041000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44377,19766.286
Japan,16552.227999999999,13825.879000000001,11397.135,44469,14484.099
Japan,16552.227999999999,13825.879000000001,11397.135,44561,21487.738000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44651,19192.351999999999
Japan,16552.227999999999,13825.879000000001,11397.135,44742,25225.162
Japan,16552.227999999999,13825.879000000001,11397.135,44834,16976.975999999999
Japan,16552.227999999999,13825.879000000001,11397.135,44926,13284.43
Japan,16552.227999999999,13825.879000000001,11397.135,45016,12452.813
Japan,16552.227999999999,13825.879000000001,11397.135,45107,14072.582
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,42916,34937.129999999997
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43008,43952.646999999997
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43100,28672.802
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43190,42897.889000000003
