period,group,name,value
2021-07-31,tenor,5-9 years,43083.7125
2021-07-31,tenor,9-12 years,44602.4455
2021-07-31,tenor,12+ years,12728.737
2021-07-31,tenor,Total,151584.702
2021-08-31,tenor,0-2 years,7837.176
2021-08-31,tenor,2-5 years,29154.17
2021-08-31,tenor,5-9 years,25504.492
2021-08-31,tenor,9-12 years,35457.6695
2021-08-31,tenor,12+ years,7613.336
2021-08-31,tenor,Total,105566.8435
2021-09-30,tenor,0-2 years,5209.401
2021-09-30,tenor,2-5 years,46030.677
2021-09-30,tenor,5-9 years,25986.339
2021-09-30,tenor,9-12 years,43302.953
2021-09-30,tenor,12+ years,12658.286
2021-09-30,tenor,Total,133187.656
2021-10-31,tenor,0-2 years,10897.141
2021-10-31,tenor,2-5 years,51293.5685
2021-10-31,tenor,5-9 years,32334.4095
2021-10-31,tenor,9-12 years,45247.094
2021-10-31,tenor,12+ years,14431.4225
2021-10-31,tenor,Total,154203.6355
2021-11-30,tenor,0-2 years,11745.7405
2021-11-30,tenor,2-5 years,47891.5325
2021-11-30,tenor,5-9 years,27840.2765
2021-11-30,tenor,9-12 years,51877.8735
2021-11-30,tenor,12+ years,16573.838
2021-11-30,tenor,Total,155929.261
2021-12-31,tenor,0-2 years,11743.6045
2021-12-31,tenor,2-5 years,38405.6045
2021-12-31,tenor,5-9 years,27706.57
2021-12-31,tenor,9-12 years,29749.7385
2021-12-31,tenor,12+ years,5598.414
2021-12-31,tenor,Total,113203.9315
2022-01-31,tenor,0-2 years,11102.94
2022-01-31,tenor,2-5 years,40902.461
2022-01-31,tenor,5-9 years,24765.0385
2022-01-31,tenor,9-12 years,23160.3585
2022-01-31,tenor,12+ years,9728.4995
2022-01-31,tenor,Total,109659.2975
2022-02-28,tenor,0-2 years,9824.196
2022-02-28,tenor,2-5 years,39316.835
2022-02-28,tenor,5-9 years,24143.417
2022-02-28,tenor,9-12 years,25250.5005
2022-02-28,tenor,12+ years,9599.665
2022-02-28,tenor,Total,108134.6135
