date_held,tender_number,maturity,isin,date_settled,name,value
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,number_of_bids_accepted_in_full,4
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,settlement_proceeds,298020376
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,amount_offered,300000000
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,amount_allotted,300000000
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,amount_of_bids,2082000000
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,coverage_ratio,6.9
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,weighted_average_issue_yield,2.5955
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,lowest_accepted_yield,2.5
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,highest_accepted_yield,2.62
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,highest_bid_yield,2.85
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,weighted_average_bid,2.7523
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,number_of_bids,16
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,number_of_successful_bids,4
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,number_of_bids_accepted_in_full,2
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,settlement_proceeds,296166990
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,amount_offered,300000000
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,amount_allotted,300000000
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,amount_of_bids,1982000000
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,coverage_ratio,6.61
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,weighted_average_issue_yield,2.856
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,lowest_accepted_yield,2.8
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,highest_accepted_yield,2.88
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,highest_bid_yield,3.18
26/3/2009,4-Sep,26/6/2009,AU2CLTN26062,27/3/2009,weighted_average_bid,2.9711
