Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,date,value
LIABILITY,AUD,Treasury Notes,40144,2009-08-31,-0.236577268195432
LIABILITY,AUD,Treasury Notes,40144,2009-09-30,-0.155410841954729
LIABILITY,AUD,Treasury Notes,40144,2009-10-31,-0.0737888736288935
LIABILITY,AUD,Treasury Notes,40151,2009-06-30,-0.424554874061761
LIABILITY,AUD,Treasury Notes,40151,2009-07-31,-0.340215595817015
LIABILITY,AUD,Treasury Notes,40151,2009-08-31,-0.255565495277931
LIABILITY,AUD,Treasury Notes,40151,2009-09-30,-0.174370230031554
LIABILITY,AUD,Treasury Notes,40151,2009-10-31,-0.0928369493038037
LIABILITY,AUD,Treasury Notes,40151,2009-11-30,-0.00821903036391064
LIABILITY,AUD,Treasury Notes,40165,2009-10-31,-0.13088012515355
LIABILITY,AUD,Treasury Notes,40165,2009-11-30,-0.0464934821905832
LIABILITY,AUD,Treasury Notes,40186,2009-10-31,-0.187742161138536
LIABILITY,AUD,Treasury Notes,40186,2009-11-30,-0.103714274857372
LIABILITY,AUD,Treasury Notes,40186,2009-12-31,-0.019169331787538
LIABILITY,AUD,Treasury Notes,40193,2009-04-30,-0.705322197609479
LIABILITY,AUD,Treasury Notes,40193,2009-05-31,-0.625871084080408
LIABILITY,AUD,Treasury Notes,40193,2009-06-30,-0.538732452925525
LIABILITY,AUD,Treasury Notes,40193,2009-07-31,-0.454480850739743
LIABILITY,AUD,Treasury Notes,40193,2009-08-31,-0.369756635043746
LIABILITY,AUD,Treasury Notes,40193,2009-09-30,-0.28799514205797
LIABILITY,AUD,Treasury Notes,40193,2009-10-31,-0.206664326329481
LIABILITY,AUD,Treasury Notes,40193,2009-11-30,-0.122715849545185
LIABILITY,AUD,Treasury Notes,40193,2009-12-31,-0.038321857422508
LIABILITY,AUD,Treasury Notes,40200,2009-04-30,-0.724435457627125
LIABILITY,AUD,Treasury Notes,40200,2009-05-31,-0.644902324982023
LIABILITY,AUD,Treasury Notes,40200,2009-06-30,-0.557772029992972
LIABILITY,AUD,Treasury Notes,40200,2009-07-31,-0.473511250893202
LIABILITY,AUD,Treasury Notes,40200,2009-08-31,-0.388772052421025
LIABILITY,AUD,Treasury Notes,40200,2009-09-30,-0.307077079769412
LIABILITY,AUD,Treasury Notes,40200,2009-10-31,-0.225506867554877
LIABILITY,AUD,Treasury Notes,40200,2009-11-30,-0.141724378277355
LIABILITY,AUD,Treasury Notes,40200,2009-12-31,-0.0573992449227459
LIABILITY,AUD,Treasury Notes,40207,2009-04-30,-615.395434534944
LIABILITY,AUD,Treasury Notes,40207,2009-05-31,-0.66395670519948
LIABILITY,AUD,Treasury Notes,40207,2009-06-30,-0.576804309280435
LIABILITY,AUD,Treasury Notes,40207,2009-07-31,-0.492533853934159
LIABILITY,AUD,Treasury Notes,40207,2009-08-31,-0.40775429936309
LIABILITY,AUD,Treasury Notes,40207,2009-09-30,-0.32611896017763
LIABILITY,AUD,Treasury Notes,40207,2009-10-31,-0.244369334463902
LIABILITY,AUD,Treasury Notes,40207,2009-11-30,-0.1607091185073
LIABILITY,AUD,Treasury Notes,40207,2009-12-31,-0.0764544252596916
LIABILITY,AUD,Treasury Notes,40214,2009-05-31,-0.683000379201838
LIABILITY,AUD,Treasury Notes,40214,2009-06-30,-0.595778578836865
LIABILITY,AUD,Treasury Notes,40214,2009-07-31,-0.511514966700315
LIABILITY,AUD,Treasury Notes,40214,2009-08-31,-0.426747162227744
LIABILITY,AUD,Treasury Notes,40214,2009-09-30,-0.345188446964135
LIABILITY,AUD,Treasury Notes,40214,2009-10-31,-0.263434573322383
LIABILITY,AUD,Treasury Notes,40214,2009-11-30,-0.179647422103784
LIABILITY,AUD,Treasury Notes,40214,2009-12-31,-0.0955460531541294
LIABILITY,AUD,Treasury Notes,40214,2010-01-31,-0.0164101096121276
LIABILITY,AUD,Treasury Notes,40221,2009-05-31,-0.701999420036869
