Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Short-Term AGS Held by Non-Resident Holdings,date,value
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1341014400,5000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1348963200,7000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1356912000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1364688000,16000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1372550400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1380499200,61999999.999999799
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1388448000,3000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1396224000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1404086400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1412035200,5000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1419984000,3000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1427760000,-1.19209289550781E-7
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1435622400,1000000.00000012
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1443571200,6000000.0000002403
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1451520000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1459382400,8000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1467244800,2999999.9999998799
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1475193600,3000000.0000001201
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1483142400,3000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1490918400,4000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1498780800,4000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1506729600,6000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1514678400,4000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1522454400,4000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1530316800,6000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1538265600,5000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1546214400,3000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1553990400,6000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1561852800,4000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1569801600,2000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1577750400,5999999.9999997597
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1585612800,11000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1593475200,4000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1601424000,7000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1609372800,5000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1617148800,3000000.0000019101
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1625011200,999999.999998093
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1632960000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1640908800,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1648684800,1000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1656547200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1664496000,1999999.99999976
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1672444800,8000000.0000004796
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1680220800,16999999.999999501
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Owing to Valuation

(B)",1688083200,35000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1056931200,-296000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1064880000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1072828800,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1080691200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1088553600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1096502400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1104451200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1112227200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1120089600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1128038400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1135987200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1143763200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1151625600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1159574400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1167523200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1175299200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1183161600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1191110400,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1199059200,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1206921600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1214784000,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1222732800,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1230681600,0
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1238457600,240000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1246320000,1165000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1254268800,-21000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1262217600,838000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1269993600,521000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1277856000,2726000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1285804800,2326000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1293753600,1720000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1301529600,-345000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1309392000,2065000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1317340800,-4048000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1325289600,-583000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1333152000,-1020000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1341014400,472000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1348963200,-478000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1356912000,1403000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1364688000,-219000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1372550400,-4699000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1380499200,590000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1388448000,1099000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1396224000,-3752000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1404086400,932000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1412035200,-95000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1419984000,-342000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1427760000,552000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1435622400,242000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1443571200,2080000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1451520000,-1221000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1459382400,-252000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1467244800,-865000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1475193600,98000000.000000104
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1483142400,402000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1490918400,-216000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1498780800,766000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1506729600,109000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1514678400,-621000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1522454400,617000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1530316800,-676000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1538265600,22000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1546214400,50000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1553990400,235000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1561852800,-398000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1569801600,2247000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1577750400,2045000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1585612800,854000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1593475200,4930000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1601424000,6435000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1609372800,-379000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1617148800,-735999999.99999797
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1625011200,-1735000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1632960000,4871000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1640908800,-2700000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1648684800,-10930000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1656547200,-4266000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1664496000,472000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1672444800,1535000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1680220800,1449000000
Short-Term AGS (Treasury Notes),Attribution of Changes in Short-Term AGS Held by Non-Residents,Attribution Type,"Total Change in Market Value

(C) = (A) + (B)",1688083200,857000000
