Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-08-31,-2161913147
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-09-30,-2166151407
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-10-31,-2173664842
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-11-30,-2172528341
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-12-31,-2167245071
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-01-31,-2185105298
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-02-29,-2171515161
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-03-31,-2206358539
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-04-30,-2226325829
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-05-31,-2213108178
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-06-30,-2232077193
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-07-31,-2263341709
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-08-31,-2274167932
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-09-30,-2298542998
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-10-31,-2314298856
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-11-30,-2304464537
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-12-31,-2315864168
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-01-31,-2338999872
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-02-28,-2306172678
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-03-31,-2317738395
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-04-30,-2323288999
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-05-31,-2300773177
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-06-30,-2304930980
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-07-31,-2311782770
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-08-31,-2303189570
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-09-30,-2309785231
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-10-31,-1175552812
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-11-30,-1166845748
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-12-31,-1172007549
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-01-31,-1174674109
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-02-28,-1168716281
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-03-31,-1173193358
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-04-30,-1177775952
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-05-31,-1171582167
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-06-30,-1175133824
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2010-07-31,-1179274098
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-06-30,-2961779646
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-07-31,-2880819881
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-08-31,-2839412848
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-09-30,-2873247989
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-10-31,-2844567112
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-11-30,-2786261396
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2003-12-31,-2857330925
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-01-31,-2848176113
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-02-29,-2888568540
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-03-31,-2948581502
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-04-30,-2893604606
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-05-31,-2914836746
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-06-30,-2926579120
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-07-31,-2941041542
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-08-31,-3010009797
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-09-30,-3075690975
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-10-31,-3079655874
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-11-30,-3104195397
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2004-12-31,-3098205716
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-01-31,-3111376308
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-02-28,-3070883666
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-03-31,-3097964317
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-04-30,-3137436355
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-05-31,-3153432420
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-06-30,-3159412258
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-07-31,-3191594916
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-08-31,-3225332540
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-09-30,-3187918114
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-10-31,-3197776107
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-11-30,-3212039820
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2005-12-31,-3292533947
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-01-31,-3313029929
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-02-28,-3265111265
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-03-31,-3289138462
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-04-30,-3237343631
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-05-31,-3218427008
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-06-30,-3248673085
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-07-31,-3274325956
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-08-31,-3293392095
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-09-30,-3327151037
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-10-31,-3320452244
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-11-30,-3266729912
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2006-12-31,-3232205128
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-01-31,-3244058706
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-02-28,-3292457015
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-03-31,-3277891059
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-04-30,-3264413780
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-05-31,-3231369218
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-06-30,-3217134761
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-07-31,-3238032613
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-08-31,-3259729559
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-09-30,-3245985711
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-10-31,-3261717791
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-11-30,-3265710443
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2007-12-31,-3232171973
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-01-31,-3281434999
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-02-29,-3274472788
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-03-31,-3292692355
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-04-30,-3324065387
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-05-31,-3292124658
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-06-30,-3310691848
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-07-31,-3363924569
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-08-31,-3438677851
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-09-30,-3510275754
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-10-31,-3409699113
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-11-30,-3383817270
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2008-12-31,-3440544597
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-01-31,-3509680882
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-02-28,-3488611071
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-03-31,-3491355951
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-04-30,-3440586582
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-05-31,-3328669330
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-06-30,-3352197511
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-07-31,-3342862953
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-08-31,-3340929167
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-09-30,-3358670842
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-10-31,-3402515957
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-11-30,-3416924965
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2009-12-31,-3416439241
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-01-31,-3468399379
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-02-28,-3954542460
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-03-31,-3943944525
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-04-30,-4468446657
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-05-31,-4509271669
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-06-30,-5075540296
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-07-31,-5045135518
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-08-31,-5082337484
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-09-30,-5077688451
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-10-31,-5077689750
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-11-30,-5020231195
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2010-12-31,-5017444784
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-01-31,-5102598090
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-02-28,-5077359555
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-03-31,-5112394894
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-04-30,-5144755803
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-05-31,-5153651954
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-06-30,-5501819877
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-07-31,-5629735031
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-08-31,-5670245933
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-09-30,-5700907224
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-10-31,-5680832734
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-11-30,-5765169407
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2011-12-31,-5805461033
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-01-31,-5817205293
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-02-29,-5742707528
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-03-31,-5759194990
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-04-30,-5789210013
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-05-31,-5874388862
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-06-30,-5835166918
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-07-31,-5849630050
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-08-31,-5808166879
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-09-30,-5847301767
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-10-31,-5873301574
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-11-30,-5811835505
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2012-12-31,-5817055270
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-01-31,-5821803433
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-02-28,-5789879702
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-03-31,-5781180899
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-04-30,-5793831644
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-05-31,-5739052375
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-06-30,-5721672822
