date_held,tender_number,maturity,isin,date_settled,name,value
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,amount_of_bids,1020394000
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,coverage_ratio,6.81
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,weighted_average_issue_yield,15.745
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,lowest_accepted_yield,14.85
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,highest_accepted_yield,15.85
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,highest_bid_yield,18
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,weighted_average_bid,16.2337
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,number_of_bids,492
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,number_of_successful_bids,36
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,number_of_bids_accepted_in_full,31
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,coupon,14
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,amount_offered,350000000
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,amount_allotted,450000000
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,amount_of_bids,1662183000
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,coverage_ratio,4.76
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,weighted_average_issue_yield,14.429
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,lowest_accepted_yield,14
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,highest_accepted_yield,14.5
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,highest_bid_yield,16.7
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,weighted_average_bid,14.8697
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,number_of_bids,700
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,number_of_successful_bids,147
1983-09-28,TB10,1993-09-16,AU0000XCLQU0,1983-10-01,number_of_bids_accepted_in_full,120
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,coupon,14.5
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,amount_offered,100000000
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,amount_allotted,150000000
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,amount_of_bids,523600000
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,coverage_ratio,5.26
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,weighted_average_issue_yield,14.575
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,lowest_accepted_yield,13.64
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,highest_accepted_yield,14.74
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,highest_bid_yield,17
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,weighted_average_bid,15.253
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,number_of_bids,283
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,number_of_successful_bids,55
1983-09-28,TB10,1998-09-16,AU0000XCLQV8,1983-10-01,number_of_bids_accepted_in_full,53
1983-10-26,TB11,1994-10-16,AU0000XCLQD6,1983-10-29,coupon,13.5
1983-10-26,TB11,1994-10-16,AU0000XCLQD6,1983-10-29,amount_offered,350000000
1983-10-26,TB11,1994-10-16,AU0000XCLQD6,1983-10-29,amount_allotted,350000000
1983-10-26,TB11,1994-10-16,AU0000XCLQD6,1983-10-29,amount_of_bids,1473902000
1983-10-26,TB11,1994-10-16,AU0000XCLQD6,1983-10-29,coverage_ratio,4.22
1983-10-26,TB11,1994-10-16,AU0000XCLQD6,1983-10-29,weighted_average_issue_yield,14.112
1983-10-26,TB11,1994-10-16,AU0000XCLQD6,1983-10-29,lowest_accepted_yield,13.85
