Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,South and South East Asia,2013-01-31,17946105000
Reported,Asia,South and South East Asia,2013-02-28,18093105000
Reported,Asia,South and South East Asia,2013-03-28,16852081000
Reported,Asia,South and South East Asia,2013-04-30,16794181000
Reported,Asia,South and South East Asia,2013-05-31,15501728000
Reported,Asia,South and South East Asia,2013-06-28,15316028000
Reported,Asia,South and South East Asia,2013-07-31,15174028000
Reported,Asia,South and South East Asia,2013-08-30,14832028000
Reported,Asia,South and South East Asia,2013-09-30,14886028000
Reported,Asia,South and South East Asia,2013-10-31,15206028000
Reported,Asia,South and South East Asia,2013-11-29,15847828000
Reported,Asia,South and South East Asia,2013-12-31,15342852000
Reported,Asia,South and South East Asia,2014-01-31,15571352000
Reported,Asia,South and South East Asia,2014-02-28,15830052000
Reported,Asia,South and South East Asia,2014-03-31,16555352000
Reported,Asia,South and South East Asia,2014-04-30,15973552000
Reported,Asia,South and South East Asia,2014-05-30,15264552000
Reported,Asia,South and South East Asia,2014-06-30,14644752000
Reported,Asia,South and South East Asia,2014-07-31,15007352000
Reported,Asia,South and South East Asia,2014-08-29,15348952000
Reported,Asia,South and South East Asia,2014-09-30,15758452000
Reported,Asia,South and South East Asia,2014-10-31,15446152000
Reported,Asia,South and South East Asia,2014-11-28,15799152000
Reported,Asia,South and South East Asia,2014-12-31,16318152000
Reported,Asia,South and South East Asia,2015-01-30,16187406000
Reported,Asia,South and South East Asia,2015-02-27,17030808000
Reported,Asia,South and South East Asia,2015-03-31,17352229000
Reported,Asia,South and South East Asia,2015-04-30,18068287000
Reported,Asia,South and South East Asia,2015-05-29,18053787000
Reported,Asia,South and South East Asia,2015-06-30,17852287000
Reported,Asia,South and South East Asia,2015-07-31,16816552000
Reported,Asia,South and South East Asia,2015-08-31,16253552000
Reported,Asia,South and South East Asia,2015-09-30,16454552000
Reported,Asia,South and South East Asia,2015-10-30,15429552000
Reported,Asia,South and South East Asia,2015-11-30,15918552000
Reported,Asia,South and South East Asia,2015-12-31,15863552000
Reported,Asia,South and South East Asia,2016-01-29,16426552000
Reported,Asia,South and South East Asia,2016-02-29,16583752000
Reported,Asia,South and South East Asia,2016-03-31,16460252000
Reported,Asia,South and South East Asia,2016-04-29,16330252000
Reported,Asia,South and South East Asia,2016-05-31,16618252000
Reported,Asia,South and South East Asia,2016-06-30,17003752000
Reported,Asia,South and South East Asia,2016-07-29,17079252000
Reported,Asia,South and South East Asia,2016-08-31,16811452000
Reported,Asia,South and South East Asia,2016-09-30,18112942000
Reported,Asia,South and South East Asia,2016-10-31,19020942000
Reported,Asia,South and South East Asia,2016-11-30,17881242000
Reported,Asia,South and South East Asia,2016-12-30,15285942000
Reported,Asia,South and South East Asia,2017-01-31,13780642000
Reported,Asia,South and South East Asia,2017-02-28,10841200000
Reported,Asia,South and South East Asia,2017-03-31,11226650000
Reported,Asia,South and South East Asia,2017-04-28,11139850000
Reported,Asia,South and South East Asia,2017-05-31,11505850000
Reported,Asia,South and South East Asia,2017-06-30,11995400000
Reported,Asia,South and South East Asia,2017-07-31,11636440000
Reported,Asia,South and South East Asia,2017-08-31,11899440000
Reported,Asia,South and South East Asia,2017-09-29,13442140000
Reported,Asia,South and South East Asia,2017-10-31,13093165000
Reported,Asia,South and South East Asia,2017-11-30,13255415000
Reported,Asia,South and South East Asia,2017-12-29,13610365000
Reported,Asia,South and South East Asia,2018-01-31,12911965000
Reported,Asia,South and South East Asia,2018-02-28,12996865000
Reported,Asia,South and South East Asia,2018-03-29,13003125000
Reported,Asia,South and South East Asia,2018-04-30,13138525000
Reported,Asia,South and South East Asia,2018-05-31,13374800000
Reported,Asia,South and South East Asia,2018-06-29,13003300000
Reported,Asia,South and South East Asia,2018-07-31,13144450000
Reported,Asia,South and South East Asia,2018-08-31,13632595000
Reported,Asia,South and South East Asia,2018-09-28,13870595000
Reported,Asia,South and South East Asia,2018-10-31,13543195000
Reported,Asia,South and South East Asia,2018-11-30,13518195000
Reported,Asia,South and South East Asia,2018-12-31,13098195000
Reported,Asia,South and South East Asia,2019-01-31,14689195000
Reported,Asia,South and South East Asia,2019-02-28,14788995000
Reported,Asia,South and South East Asia,2019-03-31,14134660000
Reported,Asia,South and South East Asia,2019-04-30,14064710000
Reported,Asia,South and South East Asia,2019-05-31,14437310000
Reported,Asia,South and South East Asia,2019-06-30,14521310000
Reported,Asia,South and South East Asia,2019-07-31,14393110000
Reported,Asia,South and South East Asia,2019-08-31,14364110000
Reported,Asia,South and South East Asia,2019-09-30,14636510000
Reported,Asia,South and South East Asia,2019-10-31,14587935000
Reported,Asia,South and South East Asia,2019-11-30,14763935000
Reported,Asia,South and South East Asia,2019-12-31,15218935000
Reported,Asia,South and South East Asia,2020-01-31,14966935000
Reported,Asia,South and South East Asia,2020-02-29,13953935000
Reported,Asia,South and South East Asia,2020-03-31,13911435000
Reported,Asia,South and South East Asia,2020-04-30,14830435000
