Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,South and South East Asia,2019-05-31,2.65923335941072
Reported,Asia,South and South East Asia,2019-06-30,2.672350750623409
Reported,Asia,South and South East Asia,2019-07-31,2.625325980053731
Reported,Asia,South and South East Asia,2019-08-31,2.592380271167261
Reported,Asia,South and South East Asia,2019-09-30,2.6065544249100414
Reported,Asia,South and South East Asia,2019-10-31,2.632210168693838
Reported,Asia,South and South East Asia,2019-11-30,2.6527427234233385
Reported,Asia,South and South East Asia,2019-12-31,2.702209096566855
Reported,Asia,South and South East Asia,2020-01-31,2.628330200693565
Reported,Asia,South and South East Asia,2020-02-29,2.4363196637498317
Reported,Asia,South and South East Asia,2020-03-31,2.3923160848902043
Reported,Asia,South and South East Asia,2020-04-30,2.4483849034625362
Reported,Asia,South and South East Asia,2020-05-31,2.647034715955543
Reported,Asia,South and South East Asia,2020-06-30,2.6813079681674714
Reported,Asia,South and South East Asia,2020-07-31,2.6416065040053347
Reported,Asia,South and South East Asia,2020-08-31,2.872200769702123
Reported,Asia,South and South East Asia,2020-09-30,3.08566936058322
Reported,Asia,South and South East Asia,2020-10-31,3.326761342609951
Reported,Asia,South and South East Asia,2020-11-30,3.4131975931141376
Reported,Asia,South and South East Asia,2020-12-31,3.476190320526959
Reported,Asia,South and South East Asia,2021-01-31,3.4642429393824483
Reported,Asia,South and South East Asia,2021-02-28,3.446029908444694
Reported,Asia,South and South East Asia,2021-03-31,3.532614249211299
Reported,Asia,South and South East Asia,2021-04-30,3.5390420062275636
Reported,Asia,South and South East Asia,2021-05-31,3.6565585801242184
Reported,Asia,South and South East Asia,2021-06-30,3.447353233775302
Reported,Asia,South and South East Asia,2021-07-31,3.2494050634276306
Reported,Asia,South and South East Asia,2021-08-31,3.1161082667730557
Reported,Asia,South and South East Asia,2021-09-30,3.082293614734659
Reported,Asia,South and South East Asia,2021-10-31,3.124989522859649
Reported,Asia,South and South East Asia,2021-11-30,3.095206627718277
Reported,Asia,South and South East Asia,2021-12-31,3.14296669037599
Reported,Asia,South and South East Asia,2022-01-31,3.2306220143109985
Reported,Asia,South and South East Asia,2022-02-28,3.3705278633657216
Reported,Asia,South and South East Asia,2022-03-31,3.373669669409158
Reported,Asia,South and South East Asia,2022-04-30,3.356103309500578
Reported,Asia,South and South East Asia,2022-05-31,3.7285643433189977
Reported,Asia,South and South East Asia,2022-06-30,4.050334089712844
Reported,Asia,South and South East Asia,2022-07-31,4.136176359681009
Reported,Asia,South and South East Asia,2022-08-31,4.10914906346731
Reported,Asia,South and South East Asia,2022-09-30,4.25022756804
Reported,Asia,South and South East Asia,2022-10-31,4.440106805126526
Reported,Asia,South and South East Asia,2022-11-30,4.262243107578918
Reported,Asia,South and South East Asia,2022-12-31,4.2815978360703495
Reported,Asia,South and South East Asia,2023-01-31,4.3101348239391
Reported,Asia,South and South East Asia,2023-02-28,4.431959651518391
Reported,Asia,South and South East Asia,2023-03-31,4.2948185062837165
Reported,Asia,South and South East Asia,2023-04-30,3.944666809459645
Reported,Asia,South and South East Asia,2023-05-31,4.165772775834574
Reported,Asia,South and South East Asia,2023-06-30,4.191608976775368
Reported,Asia,Total Asia,2009-12-31,5.777933246316316
Reported,Asia,Total Asia,2010-01-31,5.776323719146408
Reported,Asia,Total Asia,2010-02-28,5.320165555522146
Reported,Asia,Total Asia,2010-03-31,6.2278042553754505
Reported,Asia,Total Asia,2010-04-30,5.845419734939921
Reported,Asia,Total Asia,2010-05-31,5.801188680757462
Reported,Asia,Total Asia,2010-06-30,5.444483521832108
Reported,Asia,Total Asia,2010-07-30,5.635742681273194
Reported,Asia,Total Asia,2010-08-31,6.329508135863768
Reported,Asia,Total Asia,2010-09-30,6.19919155204171
Reported,Asia,Total Asia,2010-10-31,6.401417282751077
Reported,Asia,Total Asia,2010-11-30,6.876769537823895
Reported,Asia,Total Asia,2010-12-31,6.179357714133294
Reported,Asia,Total Asia,2011-01-31,6.720118819771786
Reported,Asia,Total Asia,2011-02-28,6.580332287004586
Reported,Asia,Total Asia,2011-03-31,6.504949992891177
Reported,Asia,Total Asia,2011-04-29,6.633568021836656
Reported,Asia,Total Asia,2011-05-31,6.75049704323048
Reported,Asia,Total Asia,2011-06-30,7.098013313341003
Reported,Asia,Total Asia,2011-07-29,9.56024558454395
Reported,Asia,Total Asia,2011-08-31,8.561007150696604
Reported,Asia,Total Asia,2011-09-30,8.843164372646898
Reported,Asia,Total Asia,2011-10-31,9.593365087865127
Reported,Asia,Total Asia,2011-11-30,10.35099069092724
Reported,Asia,Total Asia,2011-12-30,11.427809542050529
Reported,Asia,Total Asia,2012-01-31,11.89208685839605
Reported,Asia,Total Asia,2012-02-29,12.628904006679058
Reported,Asia,Total Asia,2012-03-30,12.871216010547263
Reported,Asia,Total Asia,2012-04-30,12.453421993618717
Reported,Asia,Total Asia,2012-05-31,12.287996254176461
Reported,Asia,Total Asia,2012-06-29,12.624463281533568
Reported,Asia,Total Asia,2012-07-31,11.824427854897435
Reported,Asia,Total Asia,2012-08-31,10.800830087255738
Reported,Asia,Total Asia,2012-09-28,10.965590675577355
Reported,Asia,Total Asia,2012-10-31,10.665736064607795
Reported,Asia,Total Asia,2012-11-30,9.936006268326308
Reported,Asia,Total Asia,2012-12-31,9.257576028624923
Reported,Asia,Total Asia,2013-01-31,9.281040128255075
Reported,Asia,Total Asia,2013-02-28,9.364461675435921
Reported,Asia,Total Asia,2013-03-28,8.741707837840178
Reported,Asia,Total Asia,2013-04-30,8.471182814574247
Reported,Asia,Total Asia,2013-05-31,8.977136641281477
Reported,Asia,Total Asia,2013-06-28,8.68140522862861
Reported,Asia,Total Asia,2013-07-31,8.623454390290473
Reported,Asia,Total Asia,2013-08-30,8.56389136543261
Reported,Asia,Total Asia,2013-09-30,8.329168918638661
Reported,Asia,Total Asia,2013-10-31,8.646304479028048
Reported,Asia,Total Asia,2013-11-29,8.547806126955273
Reported,Asia,Total Asia,2013-12-31,8.448986855386265
Reported,Asia,Total Asia,2014-01-31,8.06617878226763
Reported,Asia,Total Asia,2014-02-28,8.207142263411574
Reported,Asia,Total Asia,2014-03-31,8.356872511221212
Reported,Asia,Total Asia,2014-04-30,8.01710367560567
Reported,Asia,Total Asia,2014-05-30,7.921576923245189
Reported,Asia,Total Asia,2014-06-30,7.811650500384394
Reported,Asia,Total Asia,2014-07-31,8.024098060250662
Reported,Asia,Total Asia,2014-08-29,8.001780630805676
Reported,Asia,Total Asia,2014-09-30,7.822951903950676
Reported,Asia,Total Asia,2014-10-31,7.860842973429982
Reported,Asia,Total Asia,2014-11-28,7.922316505906703
Reported,Asia,Total Asia,2014-12-31,8.292013180986062
Reported,Asia,Total Asia,2015-01-30,8.138146255658041
Reported,Asia,Total Asia,2015-02-27,8.340658619495041
Reported,Asia,Total Asia,2015-03-31,8.209537712403746
Reported,Asia,Total Asia,2015-04-30,7.7707478003986346
Reported,Asia,Total Asia,2015-05-29,7.289059308604438
Reported,Asia,Total Asia,2015-06-30,7.539838354734677
Reported,Asia,Total Asia,2015-07-31,7.544655299034001
Reported,Asia,Total Asia,2015-08-31,7.264422888409484
Reported,Asia,Total Asia,2015-09-30,7.077446695727077
Reported,Asia,Total Asia,2015-10-30,7.072146123873506
Reported,Asia,Total Asia,2015-11-30,6.932100864510943
Reported,Asia,Total Asia,2015-12-31,7.059459824672713
Reported,Asia,Total Asia,2016-01-29,6.971611376855404
Reported,Asia,Total Asia,2016-02-29,6.945611644636645
Reported,Asia,Total Asia,2016-03-31,7.293169021606598
Reported,Asia,Total Asia,2016-04-29,6.772333943013609
Reported,Asia,Total Asia,2016-05-31,6.431724241797627
Reported,Asia,Total Asia,2016-06-30,6.862799600129693
Reported,Asia,Total Asia,2016-07-29,6.522144228405972
Reported,Asia,Total Asia,2016-08-31,6.6872745586242335
Reported,Asia,Total Asia,2016-09-30,6.807958517750757
