period,group,name,value
2018-06-30,tenor,20+ years,219.374
2018-06-30,tenor,Total,4771.7905
2018-07-31,tenor,0-5 years,1354.908
2018-07-31,tenor,5-10 years,1079.2135
2018-07-31,tenor,10-20 years,677.8215
2018-07-31,tenor,20+ years,176.458
2018-07-31,tenor,Total,3288.401
2018-08-31,tenor,0-5 years,1887.2355
2018-08-31,tenor,5-10 years,1281.335
2018-08-31,tenor,10-20 years,671.162
2018-08-31,tenor,20+ years,227.4785
2018-08-31,tenor,Total,4067.211
2018-09-30,tenor,0-5 years,2165.366
2018-09-30,tenor,5-10 years,2193.617
2018-09-30,tenor,10-20 years,1624.0745
2018-09-30,tenor,20+ years,2731.4725
2018-09-30,tenor,Total,8714.53
2018-10-31,tenor,0-5 years,895.2635
2018-10-31,tenor,5-10 years,1832.552
2018-10-31,tenor,10-20 years,636.9105
