Month,42582,42613,42643,date,value
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43982,35817.860999999997
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44012,34380.513500000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44043,38804.337500000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44074,41014.200499999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44104,62744.771000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44135,56737.232000000004
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44165,66126.012000000002
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44196,48794.987999999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44227,64341.103000000003
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44255,62763.809000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44286,68114.604500000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44316,40573.552499999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44347,46480.633000000002
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44377,48788.220999999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44408,43083.712500000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44439,25504.491999999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44469,25986.339
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44500,32334.409500000002
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44530,27840.2765
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44561,27706.57
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44592,24765.038499999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44620,24143.417000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44651,22971.267500000002
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44681,20732.957999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44712,22011.539000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44742,26451.848999999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44773,18481.258000000002
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44804,28477.279999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44834,19012.0635
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44865,17707.364000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44895,19672.191999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44926,17546.79
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44957,16518.2765
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,44985,21840.399000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,45016,22800.516500000002
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,45046,15661
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,45077,30067.656999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,45107,39491.947500000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42674,16708.944500000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42704,17811.089499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42735,28407.776999999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42766,15048.187
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42794,32340.205999999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42825,23390.791499999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42855,14134.558000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42886,13816.205
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42916,29268.550999999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42947,25249.79
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,42978,21564.284
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43008,35528.800999999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43039,20941.395
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43069,21028.000499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43100,19201.272499999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43131,30914.093000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43159,30356.104500000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43190,46324.173499999997
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43220,29948.323499999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43251,32703.654999999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43281,27530.071499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,43312,26004.9735
