date_held,tender_number_buyback_method,maturity,isin,date_settled,name,value
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,coupon,3.25
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,amount_repurchased,255000000
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,amount_of_offers,604000000
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,weighted_average_repurchase_yield,1.55302941176471
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,lowest_accepted_yield,1.55
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,highest_accepted_yield,1.56
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,lowest_offer,1.535
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,weighted_average_offer,1.54724751655629
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,secondary_market_mid_rate,1.5488
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,number_of_offers,13
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,number_of_successful_offers,6
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,number_of_offers_accepted_in_full,4
4099508-07-29,TBB10,4218495-10-27,AU3TB0000176,4099981-09-07,settlement_proceeds,261910930
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,coupon,3.25
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,amount_repurchased,300000000
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,amount_of_offers,602000000
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,weighted_average_repurchase_yield,1.61166666666667
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,lowest_accepted_yield,1.61
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,highest_accepted_yield,1.6175
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,lowest_offer,1.59
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,weighted_average_offer,1.60762873754153
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,secondary_market_mid_rate,1.6063
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,number_of_offers,14
4102820-05-06,TBB11,4218495-10-27,AU3TB0000176,4103293-06-15,number_of_successful_offers,8
