date_held,tender_number,maturity,isin,date_settled,name,value
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,highest_accepted_yield,2.98
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,highest_bid_yield,3.07
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,weighted_average_bid,2.9832
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,number_of_bids,16
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,number_of_successful_bids,10
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,number_of_bids_accepted_in_full,8
2009-05-08,09/09,2009-11-07,AU2CLTN06114,2009-05-09,settlement_proceeds,591386791
2009-05-15,10/09,2009-08-15,AU2CLTN14084,2009-05-16,amount_offered,600000000
2009-05-15,10/09,2009-08-15,AU2CLTN14084,2009-05-16,amount_allotted,601000000
2009-05-15,10/09,2009-08-15,AU2CLTN14084,2009-05-16,amount_of_bids,2122000000
2009-05-15,10/09,2009-08-15,AU2CLTN14084,2009-05-16,coverage_ratio,3.5
