Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-11-30,-951387
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2013-12-31,-905902
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-01-31,-863159
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-02-28,-823040
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-03-31,-775131
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-04-30,-727720
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-05-31,-246057
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-06-30,-229618
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-07-31,-212493
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-08-31,-196745
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-09-30,-179156
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-10-31,-161753
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-11-30,-146185
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2014-12-31,-128172
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-01-31,-111546
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-02-28,-96274
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-03-31,-78212
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-04-30,-61207
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-05-31,-44976
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-06-30,-27468
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),42236,4,2015-07-31,-10456
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-04-30,0
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-05-31,-1138312
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-06-30,-1209141
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-07-31,-1314134
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-08-31,-1381848
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-09-30,-1351529
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-10-31,-1452812
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-11-30,-1438452
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2014-12-31,-1536325
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-01-31,-1506261
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-02-28,-1581398
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-03-31,-1545581
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-04-30,-1578971
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-05-31,-1624144
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-06-30,-1681371
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-07-31,-1644386
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-08-31,-1604433
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-09-30,-1608273
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-10-31,-1571385
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-11-30,-1524541
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2015-12-31,-1477688
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2016-01-31,-1436629
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2016-02-29,-1399208
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2016-03-31,-1380335
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2016-04-30,-1354961
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2016-05-31,-1314762
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),43425,1,2016-06-30,-1262627
